id_solicitud,fecha_solicitud,tipo_producto,id_cliente,monto_o_limite,moneda,pais,is_vip,risk_score
REQ-0001,2026-02-10,cuenta,CLI-1001,150000,ARS,AR,true,15
REQ-0002,2026-02-11,tarjeta,CLI-1002,5000,USD,AR,false,35
REQ-0003,2026-02-12,servicio,CLI-1003,250,EUR,UY,false,55
REQ-0004,2026-02-13,cuenta,CLI-1004,0,ARS,AR,false,20
REQ-0005,2026-02-14,tarjeta,CLI-1005,-10,USD,AR,true,10
REQ-0006,2026-02-15,cuenta,CLI-1006,9999999,ARS,AR,false,80
REQ-0007,2026-02-16,servicio,CLI-1007,1200,BRL,BR,false,40
REQ-0008,2026-02-17,tarjeta,CLI-1008,30000,USD,UY,true,25
REQ-0009,2026/02/18,cuenta,CLI-1009,1000,ARS,AR,false,30
REQ-0010,2026-02-19,cuenta,CLI-1010,1000,ars,ar,false,45
REQ-0011,2026-02-20,tarjeta,CLI-1011,2000,USD,AR,false,110
REQ-0012,2026-02-21,servicio,CLI-1012,1000,EUR,CL,false,-1
REQ-0013,,cuenta,CLI-1013,1000,ARS,AR,false,50
REQ-0014,2026-02-23,tarjeta,,1000,USD,AR,true,15
REQ-0015,2026-02-24,cuenta,CLI-1015,,ARS,AR,false,15
REQ-0016,2026-02-25,cuenta,CLI-1016,1000,,AR,false,15
REQ-0017,2026-02-26,servicio,CLI-1017,1000,EUR,,false,15
REQ-0018,2026-02-27,cuenta,CLI-1018,1000,USD,AR,TRUE,15
REQ-0019,2026-02-28,tarjeta,CLI-1019,1000,USD,AR,false,
REQ-0020,2026-03-01,servicio,CLI-1020,750,ARS,UY,false,70
