id_solicitud,fecha_solicitud,tipo_producto,id_cliente,monto_o_limite,moneda,pais,is_vip,risk_score,risk_bucket,reject_rule_ids,reject_reasons
REQ-0004,2026-02-13,cuenta,CLI-1004,0.0,ARS,AR,False,20,LOW,AMOUNT_RANGE,"monto_o_limite 0.0 out of range [1.0, 1000000.0]"
REQ-0005,2026-02-14,tarjeta,CLI-1005,-10.0,USD,AR,True,10,LOW,AMOUNT_RANGE,"monto_o_limite -10.0 out of range [1.0, 1000000.0]"
REQ-0006,2026-02-15,cuenta,CLI-1006,9999999.0,ARS,AR,False,80,HIGH,AMOUNT_RANGE,"monto_o_limite 9999999.0 out of range [1.0, 1000000.0]"
REQ-0007,2026-02-16,servicio,CLI-1007,1200.0,BRL,BR,False,40,MED,CURRENCY_ALLOWED,"moneda 'BRL' not in allowed list ['ARS', 'USD', 'EUR']"
REQ-0009,,,,,,,,,,NORMALIZATION_ERROR,Invalid fecha_solicitud format (expected YYYY-MM-DD): '2026/02/18'
REQ-0013,,,,,,,,,,NORMALIZATION_ERROR,Invalid fecha_solicitud format (expected YYYY-MM-DD): ''
REQ-0014,2026-02-23,tarjeta,,1000.0,USD,AR,True,15,LOW,REQUIRED_FIELDS,id_cliente is empty
REQ-0015,,,,,,,,,,NORMALIZATION_ERROR,monto_o_limite is empty
REQ-0016,2026-02-25,cuenta,CLI-1016,1000.0,,AR,False,15,LOW,REQUIRED_FIELDS|CURRENCY_ALLOWED,"moneda is empty | moneda '' not in allowed list ['ARS', 'USD', 'EUR']"
REQ-0017,2026-02-26,servicio,CLI-1017,1000.0,EUR,,False,15,LOW,REQUIRED_FIELDS,pais is empty
REQ-0019,,,,,,,,,,NORMALIZATION_ERROR,risk_score is empty
